Location,Count
"Elmhurst, NY",2
"Elmira, NY",1
"Elmont, NY",1
"Elmsford, NY",1
"Flushing, NY",4
"Fort Drum, NY",1
"Glendale, NY",1
"Hempstead, NY",1
"Hollis, NY",2
"Howard Beach, NY",1
"Huntington, NY",1
"Jamaica, NY",6
"Kingston, NY",1
"Lawrence, NY",1
"Lindenhurst, NY",2
"Lockport, NY",1
"Long Island City, NY",2
"Middletown, NY",1
"Mount Vernon, NY",1
"New Hartford, NY",1
"New Rochelle, NY",1
"New Windsor, NY",1
"New York, NY",22
"Niagara Falls, NY",1
"North Baldwin, NY",1
"Ozone Park, NY",2
"Patchogue, NY",1
"Port Chester, NY",1
"Poughkeepsie, NY",1
"Queens, NY",3
"Queens Village, NY",2
"Riverhead, NY",1
"Rochester, NY",4
"Rockaway Beach, NY",1
"Rosedale, NY",1
"Saint Albans, NY",1
"Schenectady, NY",1
"Shirley, NY",1
"South Richmond Hill, NY",1
"Spring Valley, NY",1
"Springfield Gardens, NY",1
"Staten Island, NY",3
"Syracuse, NY",2
"Troy, NY",1
"Valley Stream, NY",2
"West Nyack, NY",1
"Westbury, NY",1
"Woodhaven, NY",1
"Yonkers, NY",2
"Yorktown Heights, NY",1
"Asheville, NC",1
"Canton, NC",1
"Charlotte, NC",8
"Clinton, NC",1
"Concord, NC",3
"Durham, NC",3
"Elizabeth City, NC",1
"Fayetteville, NC",3
"Fletcher, NC",1
"Fort Bragg, NC",4
"Gastonia, NC",1
"Goldsboro, NC",1
"Graham, NC",1
"Greensboro, NC",3
"Greenville, NC",1
"Hickory, NC",1
"Indian Trail, NC",1
"Jacksonville, NC",1
"Kannapolis, NC",1
"Knightdale, NC",1
"Lincolnton, NC",1
"Lumberton, NC",1
"Mocksville, NC",1
"New Bern, NC",1
"Oxford, NC",1
"Raleigh, NC",5
"Roanoke Rapids, NC",1
"Rocky Mount, NC",1
"Roxboro, NC",1
"Sanford, NC",1
"Selma, NC",1
"Shelby, NC",1
"Wadesboro, NC",1
"Whitsett, NC",1
"Wilson, NC",1
"Winston Salem, NC",2
"Fargo, ND",1
"Minot Afb, ND",1
"Akron, OH",2
"Amherst, OH",2
"Ashland, OH",1
"Boardman, OH",1
"Canal Winchester, OH",1
"Cincinnati, OH",9
"Cleveland, OH",8
"Columbus, OH",10
"Dayton, OH",3
"Dublin, OH",1
"Englewood, OH",1
"Euclid, OH",1
"Fairfield, OH",1
"Grove City, OH",1
"Hamilton, OH",1
"Hebron, OH",1
"Jeffersonville, OH",1
"Liberty Township, OH",1
"London, OH",1
"Macedonia, OH",1
"Maple Heights, OH",1
"Mason, OH",2
"Monroe, OH",1
"North Olmstead, OH",1
"North Randall, OH",1
"Reynoldsburg, OH",1
"Seville, OH",1
"South Euclid, OH",1
"Springboro, OH",1
"Springfield, OH",1
"Toledo, OH",2
"Youngstown, OH",1
"Ardmore, OK",1
"Broken Arrow, OK",1
"Edmond, OK",1
"Enid, OK",1
"Fort Sill, OK",1
"Lawton, OK",1
"Oklahoma City, OK",7
"Ponca City, OK",1
"Shawnee, OK",1
"Tinker Afb, OK",1
"Tulsa, OK",4
"Yukon, OK",1
"Aloha, OR",1
"Aurora, OR",1
"Beaverton, OR",1
"Cottage Grove, OR",1
"Forest Grove, OR",1
"Gresham, OR",1
"Happy Valley, OR",1
"Portland, OR",6
"Saint Helens, OR",1
"Salem, OR",2
"Troutdale, OR",1
"Allentown, PA",1
"Altoona, PA",1
"Aston, PA",1
"Bensalem, PA",1
"Broomall, PA",1
"Chambersburg, PA",1
"Coatesville, PA",1
"Darby, PA",1
"Duquesne, PA",1
"Eddystone, PA",1
"Erie, PA",1
"Folcroft, PA",1
"Harrisburg, PA",2
"Hazleton, PA",1
"Hermitage, PA",1
"Indiana, PA",1
"King Of Prussia, PA",1
"Lancaster, PA",1
"Lansdale, PA",1
"Lebanon, PA",1
"Levittown, PA",1
"Morrisville, PA",1
"Morton, PA",1
"New Castle, PA",1
"Norristown, PA",2
"North Versailles, PA",1
"Philadelphia, PA",30
"Pittsburgh, PA",3
"Pottstown, PA",1
"Quakertown, PA",1
"Reading, PA",1
"Scranton, PA",1
"Somerset, PA",1
"Stroudsburg, PA",1
"Upper Darby, PA",1
"Warminster, PA",1
"Washington, PA",1
"Waterfall, PA",1
"Whitehall, PA",1
"Wilkes Barre, PA",1
"York, PA",1
"Johnston, RI",1
"N Providence, RI",1
"Providence, RI",2
"W Greenwich, RI",1
"Warwick, RI",1
"Woonsocket, RI",1
"Aiken, SC",1
"Anderson, SC",1
"Boiling Springs, SC",1
"Camden, SC",1
"Columbia, SC",4
"Conway, SC",1
"Dillon, SC",1
"Easley, SC",1
"Florence, SC",2
"Gaffney, SC",1
"Goose Creek, SC",1
"Greenwood, SC",1
"Greer, SC",1
"Irmo, SC",1
"Lancaster, SC",1
"Lexington, SC",1
"Manning, SC",1
"Mauldin, SC",1
"Moncks Corner, SC",1
"Myrtle Beach, SC",1
"N Charleston, SC",1
"Newberry, SC",1
"North Charleston, SC",1
"Orangeburg, SC",1
"Rock Hill, SC",2
"Seneca, SC",1
"Summerville, SC",1
"Sumter, SC",1
"Walterboro, SC",1
"West Columbia, SC",1
"Rapid City, SD",1
"Sioux Falls, SD",2
"Antioch, TN",2
"Ashland City, TN",1
"Bartlett, TN",1
"Chattanooga, TN",2
"Clarksville, TN",2
"Collierville, TN",1
"Columbia, TN",1
"Cookeville, TN",1
"Cordova, TN",1
"Covington, TN",1
"Dickson, TN",1
"Dyersburg, TN",1
"Eastridge, TN",1
"Fayetteville, TN",1
"Gallatin, TN",1
"Hendersonville, TN",1
"Jackson, TN",3
"Johnson City, TN",1
"Kingsport, TN",1
"Knoxville, TN",3
"Lavergne, TN",1
"Lebanon, TN",1
"Madison, TN",1
"Maryville, TN",1
"Memphis, TN",13
"Millington, TN",1
"Morristown, TN",1
"Murfreesboro, TN",1
"Nashville, TN",6
"Pigeon Forge, TN",1
"Pioneer, TN",1
"Sevierville, TN",1
"Shelbyville, TN",1
"Smyrna, TN",1
"Spring Hill, TN",1
"White House, TN",1
"Abilene, TX",2
"Alice, TX",1
"Alvin, TX",1
"Amarillo, TX",4
"Angleton, TX",1
"Aransas Pass, TX",1
"Arlington, TX",5
"Atascocita, TX",1
"Athens, TX",1
"Austin, TX",9
"Balch Springs, TX",1
"Bastrop, TX",1
"Baytown, TX",2
"Beaumont, TX",4
"Bedford, TX",1
"Bellmead, TX",1
"Belton, TX",1
"Benbrook, TX",1
"Big Spring, TX",1
"Brookshire, TX",1
"Brownsville, TX",1
"Brownwood, TX",1
"Bryan, TX",2
"Buda, TX",1
"Carrollton, TX",2
"Cedar Hill, TX",1
"Cedar Park, TX",1
"Channelview, TX",1
"Cleburne, TX",1
"Cleveland, TX",1
"Clute, TX",1
"College Station, TX",1
"Conroe, TX",3
"Copperas Cove, TX",1
"Corinth, TX",1
"Corpus Christi, TX",7
"Corsicana, TX",1
"Crosby, TX",1
"Crossroads, TX",1
"Cypress, TX",4
"Dallas, TX",19
"Deer Park, TX",1
"Denton, TX",1
"Desoto, TX",1
"Dickinson, TX",1
"Duncanville, TX",2
"Eagle Pass, TX",1
"Edinburg, TX",2
"El Paso, TX",9
"Euless, TX",1
"Fort Bliss, TX",1
"Fort Hood, TX",1
"Fort Worth, TX",7
"Friendswood, TX",1
"Frisco, TX",1
"Ft Bliss, TX",1
"Ft Worth, TX",1
"Ft. Worth, TX",2
"Fulshear, TX",1
"Galveston, TX",2
"Garland, TX",3
"Georgetown, TX",1
"Grand Prairie, TX",2
"Grapevine, TX",1
"Greenville, TX",1
"Groves, TX",1
"Harker Heights, TX",1
"Harlingen, TX",1
"Haslet, TX",1
"Horizon City, TX",1
"Houston, TX",67
"Huffman, TX",1
"Humble, TX",7
"Huntsville, TX",1
"Hutchins, TX",1
"Hutto, TX",1
"Irving, TX",3
"Jacinto City, TX",2
"Jarrell, TX",1
"Jasper, TX",1
"Katy, TX",5
"Keller, TX",1
"Kennedale, TX",1
"Kerrville, TX",1
"Kilgore, TX",1
"Killeen, TX",2
"Kingsville, TX",1
"Kyle, TX",1
"La Porte, TX",2
"Lackland Afb, TX",2
"Lake Jackson, TX",1
"Laredo, TX",8
"League City, TX",2
"Leander, TX",1
"Lewisville, TX",2
"Liberty, TX",1
"Little Elm, TX",1
"Livingston, TX",1
"Longview, TX",2
"Lubbock, TX",4
"Lufkin, TX",1
"Lumberton, TX",1
"Magnolia, TX",1
"Mansfield, TX",1
"Marshall, TX",1
"Mcallen, TX",2
"Mckinney, TX",1
"Mesquite, TX",1
"Midland, TX",2
"Missouri City, TX",2
"Mont Bellvieu, TX",1
"Mt Pleasant, TX",1
"Nacogdoches, TX",1
"Navasota, TX",1
"Nederland, TX",1
"New Braunfels, TX",2
"New Caney, TX",1
"North Richland Hills, TX",2
"Northlake, TX",1
"Odessa, TX",1
"Orange, TX",1
"Paris, TX",1
"Pasadena, TX",3
"Pearland, TX",3
"Pflugerville, TX",2
"Pharr, TX",1
"Pinehurst, TX",1
"Plano, TX",3
"Port Arthur, TX",1
"Porter, TX",1
"Portland, TX",1
"Princeton, TX",1
"Prosper, TX",1
"Quinlan, TX",1
"Randolph Afb, TX",1
"Richmond, TX",2
"Roanoke, TX",1
"Robstown, TX",1
"Rockport, TX",1
"Rockwall, TX",1
"Rosenberg, TX",2
"Round Rock, TX",4
"Rowlett, TX",1
"Royse City, TX",1
"San Angelo, TX",1
"San Antaonio, TX",1
"San Antonio, TX",23
"San Juan, TX",1
"San Marcos, TX",2
"Sherman, TX",1
"Socorro, TX",1
"Spring, TX",6
"Spring Branch, TX",1
"Stafford, TX",1
"Sugar Land, TX",4
"Sweetwater, TX",1
"Temple, TX",1
"Texas City, TX",2
"The Colony, TX",1
"The Woodlands, TX",1
"Tomball, TX",2
"Tyler, TX",2
"Universal City, TX",1
"Victoria, TX",2
"Vidor, TX",1
"Waco, TX",1
"Waller, TX",1
"Waxahachie, TX",1
"Weatherford, TX",1
"Webster, TX",1
"Weslaco, TX",1
"West Montgomery, TX",1
"White Settlement, TX",1
"Wichita Falls, TX",2
"Willis, TX",1
"American Fork, UT",1
"Herriman, UT",1
"Hill Afb, UT",1
"Layton, UT",1
"Lehi, UT",1
"Midvale, UT",1
"Ogden, UT",2
"Salt Lake City, UT",1
"St. George, UT",1
"Taylorsville, UT",1
"Tooele, UT",1
"West Jordan, UT",1
"West Valley City, UT",1
"Alexandria, VA",3
"Annandale, VA",1
"Arlington, VA",4
"Ashburn, VA",1
"Ashland, VA",1
"Bealeton, VA",1
"Bristol, VA",1
"Centreville, VA",1
"Charlottesville, VA",1
"Chesapeake, VA",3
"Chester, VA",1
"Clifton, VA",1
"Culpeper, VA",1
"Dale City, VA",1
"Dulles, VA",1
"Fairfax, VA",5
"Falls Church, VA",1
"Fort Eustis, VA",1
"Fort Lee, VA",1
"Fredericksburg, VA",4
"Front Royal, VA",1
"Ft Belvoir, VA",1
"Glen Allen, VA",1
"Hampton, VA",3
"Harrisonburg, VA",1
"Herndon, VA",3
"Leesburg, VA",1
"Lorton, VA",1
"Lynchburg, VA",1
"Manassas, VA",2
"Mechanicsville, VA",1
"Newport News, VA",2
"Norfolk, VA",3
"North Chesterfield, VA",2
"Portsmouth, VA",2
"Raphine, VA",1
"Reston, VA",1
"Richmond, VA",5
"Roanoke, VA",2
"Springfield, VA",3
"Stafford, VA",1
"Sterling, VA",1
"Stony Creek, VA",1
"Vienna, VA",1
"Virginia Beach, VA",1
"Warrenton, VA",1
"Williamsburg, VA",1
"Winchester, VA",2
"Woodbridge, VA",3
"Wytheville, VA",1
"Zion Crossroads, VA",1
"Bremerton, WA",1
"Burlington, WA",1
"Everett, WA",1
"Federal Way, WA",1
"Kent, WA",1
"Lacey, WA",1
"Lake Stevens, WA",2
"Lakewood, WA",1
"Marysville, WA",1
"Mcchord Afb, WA",1
"North Bend, WA",1
"Puyallup, WA",1
"Renton, WA",1
"Seattle, WA",1
"Sunnyside, WA",1
"Tacoma, WA",4
"Vancouver, WA",3
"Washington, WA",1
"Woodland, WA",1
"Yakima, WA",1
"Washington, DC",9
"Charles Town, WV",1
"Martinsburg, WV",2
"Morgantown, WV",1
"Vienna, WV",1
"Appleton, WI",1
"Beloit, WI",1
"Deforest, WI",1
"Fitchburg, WI",1
"Fond Due Lac, WI",1
"Green Bay, WI",1
"Hudson, WI",1
"Janesville, WI",1
"Kenosha, WI",1
"Madison, WI",1
"Manitowoc, WI",1
"Milwaukee, WI",8
"Racine, WI",2
"Wauwatosa, WI",1
